id,b1
3139,0.8833939815796313
3209,0.6568086696144635
55,
125,0.4127185991500849
195,0.41897230431381477
265,0.44490705723266694
335,0.26403233854784597
405,0.04662967137808531
475,0.08451651874575102
545,0.9390361833499702
615,0.5347732519495236
685,0.06662805996931809
755,0.11078418828649057
825,0.3383863949467219
895,0.552660429058861
965,0.9593409832282448
1035,0.652113281119799
1105,
1175,
1245,
1315,
1385,
1455,
1525,0.5779009075449184
1595,0.04283520445995098
1665,
1735,
1805,0.17688639138547868
1875,0.5888828373875916
1945,0.5056462138035906
2015,0.06753705014702957
2085,0.49598197110108905
2155,
2225,
2295,
2365,0.1859902993985119
2435,0.4735624928581463
2505,0.3792079504891145
2575,0.16444840836384378
2645,0.698412116690016
2715,1.136560423371104
2785,0.6900068464635025
2855,0.23359128238588264
2925,0.28179910603863273
2995,0.4436357158867539
3065,0.8980234939673425
3135,
3205,
51,
121,
191,0.3182228502168943
261,
331,
401,
471,
541,
611,
681,1.2269029085922722
751,0.966668004823497
821,0.4463056198549181
891,0.1758680123463702
961,0.24577838176482095
1031,0.3234694680983517
1101,0.7530427882846619
1171,0.39220322536322716
1241,0.6350853014703256
1311,0.8832538429378599
1381,0.746326442547018
1451,0.6143281564598776
1521,
1591,0.6027518228111916
1661,0.5709109861409785
1731,0.6839336633203376
1801,0.25081806824298125
1871,0.008931750777619697
1941,
2011,0.504656268784393
2081,0.11871578770501191
2151,0.38076778015151025
2221,0.7895830526619289
2291,1.0635961492194201
2361,1.0221896459580206
2431,0.4991907277446185
2501,0.4262885015841643
2571,0.6473964553931081
2641,0.20373699226365732
2711,0.0953572967226086
2781,0.052227562058006584
2851,0.0346854716116924
2921,0.14514386152044642
2991,0.20852819052702287
3061,0.10578828682142566
3131,0.010861354661507706
3201,
47,
117,
187,
257,
327,
397,
467,
537,
607,
677,0.21052711186046233
747,0.14967931117856365
817,0.19574365935769528
887,0.36576490247241206
957,0.5479281037109613
1027,0.41185922154960075
1097,0.6896759988985012
1167,0.40068543729694406
1237,0.5992549817600122
1307,0.4188216199921489
1377,0.20123254473101498
1447,0.23047036906443458
1517,0.42241361453215076
1587,0.5306091373646057
1657,0.5879270306732386
1727,0.9931033217473592
1797,0.3212697281912828
1867,0.1501321857884936
1937,0.8514886125771914
2007,0.7191975133137429
2077,0.4129673067435431
2147,0.3826691881248376
2217,0.37252994330154804
2287,0.2590226004933999
2357,0.037844355585011945
2427,0.040310111813590135
2497,0.04154510844540229
2567,0.5826940688034522
2637,0.6374113668688653
2707,0.26092094261948656
2777,0.3732375473313909
2847,0.37541453884977266
2917,0.7946970211249859
2987,0.35391374664946856
3057,0.15025427561350937
3127,
3197,
43,
113,
183,
253,
323,
393,0.13800698624849134
463,0.19353979904625454
533,0.3845468746435818
603,0.32747619614438045
673,0.13336311035861523
743,0.1060212735469567
813,0.3313078455608264
883,0.1560102698089478
953,0.27675912415308873
1023,0.26561400984206335
1093,0.3469956037953166
1163,0.495612591124121
1233,0.3828968800690827
1303,0.5614007161675882
1373,0.6713503493159532
1443,0.9515453101473326
1513,0.6462754950789805
1583,0.4438403086553467
1653,0.4461322710021041
1723,0.6127276735885072
1793,0.45267699865413347
1863,0.6446924275831913
1933,0.35089241190618314
2003,0.5789332157241406
