id,agbd
899,
969,
1039,51.12162806720017
1109,44.61538461538461
1179,
1249,
1319,
1389,
1459,
1529,38.16810836496283
1599,59.463949680303585
1669,
1739,
1809,
1879,
1949,
2019,60.0
2089,67.36816814307203
2159,46.45283018867924
2229,
2299,14.437246963562753
2369,74.0
2439,28.45196539614396
2509,115.69021626189718
2579,35.002605067201515
2649,49.48453608247423
2719,52.55102040816327
2789,81.18686224489797
2859,29.0
2929,44.53703703703704
2999,67.44843707684194
3069,38.746300785065664
3139,57.4416
3209,55.215644820295985
55,
125,71.45931307793923
195,51.473517701108
265,37.83394118987919
335,30.605664891156376
405,10.619994463432034
475,34.678888119154834
545,57.64462177641296
615,55.34481086323957
685,22.659682828610254
755,19.201039774881753
825,37.42734538928161
895,59.34801513788854
965,83.48551577516098
1035,65.40345816041511
1105,
1175,
1245,
1315,
1385,
1455,
1525,83.55459794385641
1595,70.0
1665,
1735,
1805,48.48645028614722
1875,51.1468253968254
1945,22.560144202638686
2015,36.0
2085,65.4776119402985
2155,
2225,
2295,
2365,40.4390243902439
2435,51.345
2505,28.592105263157894
2575,28.32853717026379
2645,45.401869158878505
2715,139.70092246870195
2785,139.88513513513513
2855,36.48039215686274
2925,21.0
2995,26.470355731225297
3065,108.5
3135,
3205,
51,
121,
191,76.5
261,
331,
401,
471,
541,
611,
681,119.97671475136971
751,67.2697473532665
821,91.61739058376573
891,58.92783505154639
961,51.34606741573034
1031,65.41509433962264
1101,75.49816548556038
1171,48.51490514905149
1241,51.37585604649646
1311,67.42315125540776
1381,93.51494252873563
1451,71.2287800932534
1521,
1591,105.47583903917386
1661,77.3972602739726
1731,91.35153445033339
1801,43.24102335183997
1871,32.0
1941,
2011,37.38607594936709
2081,23.526563978756208
2151,41.06631752805762
2221,115.45535714285714
2291,173.5765306122449
2361,168.53333333333333
2431,94.5
2501,69.70967741935483
2571,42.294117647058826
2641,37.51640250645042
2711,76.51724137931035
2781,48.654545454545456
2851,43.08888349009127
2921,46.34848484848485
2991,46.44615384615385
3061,30.555555555555557
3131,25.0
3201,
47,
117,
187,
257,
327,
397,
467,
537,
607,
677,75.0
747,58.6
817,58.49193548387097
887,83.35494964934364
957,117.36842105263158
1027,113.35714285714286
1097,133.54980802253564
1167,93.44878048780488
1237,106.44444444444444
1307,87.4103448275862
1377,59.3175
1447,43.44173028806056
1517,107.68656716417911
1587,99.71428571428571
1657,103.39088397790056
1727,137.57799117570724
1797,51.17482517482517
1867,41.49611482377184
1937,137.55102040816325
2007,155.61481481481482
2077,121.52941176470588
2147,91.6969696969697
2217,58.46666666666667
2287,57.28800578906109
2357,42.52542372881356
2427,44.6
2497,45.51020408163265
2567,157.625
2637,113.0
2707,29.076923076923077
2777,185.8
2847,23.7682119205298
2917,167.5237876802097
2987,42.42898272552783
3057,34.82659257772991
3127,21.369565217391305
3197,15.0
43,
113,
183,
253,
323,
393,41.0
463,65.41213389121339
533,91.53234992789547
603,89.52612465154343
673,51.502760589834665
743,51.14121961210119
813,107.6624203821656
883,86.6923076923077
953,84.54545454545455
1023,88.45454545454545
1093,72.65957446808511
1163,97.4494382022472
1233,99.24183745583039
1303,134.94117647058823
1373,177.45205479452054
1443,187.43361188486534
1513,163.26530612244898
1583,123.38323353293413
1653,123.61085972850678
1723,131.35862068965517
1793,136.02212011113485
1863,151.1438127090301
1933,103.58041575492341
2003,139.53731343283582
2073,151.76241134751774
2143,59.53107344632768
2213,61.384
2283,44.56
2353,58.452796685409886
2423,113.46774193548387
2493,59.314655172413794
2563,46.52845528455285
2633,52.36585365853659
2703,107.71604938271605
2773,231.52092050209205
2843,213.52380952380952
2913,40.5632183908046
2983,36.52499107951582
3053,34.83946322900776
3123,42.506024096385545
3193,44.0
39,
109,
179,
249,
319,44.76923076923077
389,53.52307692307692
459,
529,
599,
669,
739,
809,42.0
879,75.41958041958041
949,86.83233672958076
1019,75.32824580781202
1089,54.84507707338255
1159,135.8805225833365
1229,119.81375603971387
1299,155.0721649484536
1369,123.44368600682594
1439,114.97619047619048
1509,155.1315789473684
1579,123.45454545454545
1649,145.1625
1719,167.5107398568019
1789,167.71587609093262
1859,155.57565789473685
1929,107.56711409395973
1999,103.3455497382199
2069,115.51054852320675
2139,123.29675319831412
2209,72.4888888888889
2279,99.3609022556391
2349,77.43131188118812
2419,57.423529411764704
2489,74.47727272727273
2559,88.48484848484848
2629,101.44444444444444
2699,68.66666666666667
2769,72.33333333333333
2839,86.54545454545455
2909,67.70142180094787
2979,61.75714285714286
3049,48.42616802400343
3119,68.53846153846153
3189,62.48598130841121
32,
102,
172,
242,
312,36.0
382,51.318914588353294
452,
522,
592,
662,
732,
802,
872,12.49879626843214
942,16.44558034907309
1012,22.522633744855966
1082,22.448464619492658
1152,21.502436451851068
1222,19.64903846153846
1292,13.290050590219224
1362,9.832434794005854
1432,16.484304932735427
1502,22.417241379310344
1572,16.0
1642,13.317220543806647
1712,
1782,
1852,
1922,
1992,
2062,
2132,
2202,
2272,
2342,
2412,
2482,
2552,
2622,19.549295774647888
