id,agbd
215,
285,96.0
355,56.18181818181818
425,
495,
565,
635,64.92371545242806
705,51.18518518518518
775,
845,148.26498977151581
915,119.19821015920449
985,115.85476111908922
1055,127.49634991238887
1125,133.64043294222782
1195,176.6626590014948
1265,166.46191763845945
1335,198.92902128531006
1405,139.72259245992726
1475,137.97363119609722
1545,206.69838408784545
1615,140.91951003030485
1685,179.79156002459754
1755,176.74199484538613
1825,182.45021910894286
1895,155.44009393122963
1965,144.46934706961883
2035,151.0907102323434
2105,168.8986342497188
2175,134.66136771016275
2245,115.01856721761277
2315,138.78809576424612
2385,125.34162072671386
2455,121.08167066483739
2525,122.25615243955804
2595,152.70525304914398
2665,111.76275525867858
2735,130.32900636528632
2805,107.85084969292997
2875,90.64946488702479
2945,85.90069936615146
3015,76.64317632808918
3085,91.4717756211708
3155,81.87190609797533
3225,108.49758771882529
1,59.70546621098439
71,69.68367887314547
141,55.766854310074514
211,
281,
351,57.936468182392616
421,75.09900626023187
491,100.39628246759439
561,107.71755210528782
631,79.98349774589096
701,94.51440207829658
771,89.10877799234804
841,72.74948551574457
911,
981,
1051,
1121,69.19199888337964
1191,97.8306731194701
1261,115.53512920421458
1331,135.5702452520752
1401,123.54656485591207
1471,114.11373453498294
1541,172.26427601681846
1611,167.3219473972831
1681,149.9661968372036
1751,102.36597206026005
1821,147.652512631391
1891,153.02939205872065
1961,138.5276255221732
2031,134.03672331859076
2101,148.14050856954088
2171,143.70537453398651
2241,118.33079253400074
2311,119.86605862926758
2381,122.77150646747495
2451,117.49767425752646
2521,142.00099804692582
2591,128.00819066868814
2661,134.30568716521447
2731,135.1890742003938
2801,123.4140583550255
2871,120.6010746938525
2941,120.52204453125552
3011,93.91229949555348
3081,123.05568805493454
3151,140.64280396829628
3221,129.80171233912924
67,
137,
207,
277,
347,59.31475484916687
417,
487,
557,
627,
697,
767,33.729367322607864
837,21.575589738990043
907,28.241764181607216
977,34.464501375432455
1047,28.286318012213428
1117,26.805629660749926
1187,25.05014504667952
1257,107.12179846160414
1327,129.6102938113128
1397,153.05386355177646
1467,29.87064887143595
1537,22.701661319073082
1607,23.445506132957195
1677,14.717059930331306
1747,
1817,
1887,
1957,52.329896907216494
2027,
2097,
2167,
2237,
2307,
2377,
2447,
2517,
2587,
2657,55.6764705882353
2727,
2797,
2867,
2937,132.0
3007,119.89761959787381
3077,60.95387376460617
3147,
3217,45.47643723809266
63,
133,35.92481400828858
203,21.341271401537824
273,58.09246164371084
343,50.25629608741327
413,53.64447634306166
483,45.369075543094375
553,27.0022622225755
623,45.558040900094575
693,40.606721031204565
763,24.25210919736111
833,
903,
973,
1043,
1113,
1183,
1253,
1323,
1393,
1463,
1533,
1603,
1673,
1743,
1813,41.57473141052794
1883,55.337249074109785
1953,55.35118180101065
2023,85.85455624802375
2093,110.60384599504225
2163,
2233,
2303,
2373,
2443,
2513,41.60216250767579
2583,72.63680441933305
2653,52.48492472609757
2723,51.71269052895613
2793,64.01713448472734
2863,
2933,34.120516499282644
3003,65.99319829973166
3073,58.27067124744412
3143,69.73330084222273
3213,33.57510284694647
59,
129,112.92333665035724
199,55.890317001703195
269,35.21224952819913
339,48.90185010096172
409,40.35514097250819
479,21.7820234299263
549,26.94529968590583
619,41.3141653006834
689,51.96416710764187
759,62.32086083754156
829,39.51976552799515
899,
969,
1039,87.91129647565157
1109,63.82478755581161
1179,
1249,
1319,
1389,
1459,
1529,60.723294579411
1599,66.14131661631905
1669,
1739,
1809,
1879,
1949,
2019,67.20823643410853
2089,92.05943271075527
2159,60.08126966544486
2229,
2299,20.61477242005499
2369,71.11626184169174
2439,53.159358674112774
2509,126.07464328204395
2579,54.36790879676916
2649,95.85705126408065
2719,71.6881204960418
2789,88.30188679245283
2859,28.611784434213455
2929,46.73901347114522
2999,88.98533133512271
3069,54.939982856556455
3139,74.66130418546747
3209,125.019071343737
55,
125,96.1852111626267
195,86.32137359153506
265,66.7907774796226
335,50.54028601687794
405,22.196383147057645
475,35.99907047413597
545,88.33927623945166
615,58.81227248372384
685,30.875904626355993
755,40.21601755310538
825,54.49998918426717
895,63.537099043586856
965,90.69308425459965
1035,78.53113766536161
1105,
1175,
1245,
1315,
1385,
1455,
1525,89.33098161080476
1595,16.807692307692307
1665,
1735,
1805,83.46236796484303
1875,100.26958080917957
1945,79.38083424077168
2015,46.68081641135326
2085,84.70658383426151
2155,
2225,
2295,
2365,57.95420841567567
2435,77.12020933925062
2505,63.745290604568595
2575,35.923224311979986
2645,90.3993799406156
2715,142.2790892809721
2785,157.9942054705476
2855,50.344426223840124
2925,40.69297772201616
2995,58.83856227932414
3065,157.45495090367416
3135,
3205,
51,
121,
191,54.6
261,
331,
401,
471,
541,
611,
681,111.15928121599553
751,82.2977257602142
821,193.41516593080735
891,83.28672589141358
961,80.86109987795327
1031,93.8807193609449
1101,73.81636780422548
1171,56.79459863551287
1241,62.591154044074834
1311,85.82344276751277
1381,109.7924867923347
1451,125.0798216642595
1521,
1591,114.92672783525225
1661,122.31483548814627
1731,129.0400365240315
1801,71.72745468477105
1871,38.33766233766234
1941,
2011,45.203591221170946
2081,32.96346424926488
2151,67.45449582397566
2221,124.67748498660953
2291,165.47091688224774
2361,152.43135730398498
2431,113.47449170002506
2501,113.09828295215
2571,135.76513082904833
2641,71.09937944521857
2711,93.38732485389208
2781,92.36860414953672
2851,94.94516374714395
2921,103.64245610270717
